hotel_name,ostrovok.ru,rating_ostrovok.ru,level.travel,rating_level.travel,travelata.ru,rating_travelata.ru,travel.yandex.ru,rating_travel.yandex.ru
Abo Nawas Resort,https://ostrovok.ru/hotel/egypt/marsa_alam/mid8617758/abo_nawas_resort_3/,,https://level.travel/hotels/165513-Abo_Nawas_Resort,,https://travelata.ru/egypt/resorts/marsa-alam-el-quseir/hotels/protels-crystal-beach-resort-ex-bliss-abo-nawas-resort-abo-nawas-resort-4-689b137.html,3.3,https://travel.yandex.ru/hotels/egypt/abo-nawas-resort/,
Abu Dabbab Diving Lodge,https://ostrovok.ru/hotel/egypt/marsa_alam/mid8499063/abu_dabab_diving_lodge/,,https://level.travel/hotels/9011768-Abu_Dabbab_Diving_Lodge,8.9,https://travelata.ru/egypt/resorts/marsa-alam-el-quseir/hotels/abu-dabbab-lodge-4-f93486b.html,3.8,https://travel.yandex.ru/hotels/egypt/abu-dabbab-diving-lodge/,
Acacia Dahab Hotel,https://ostrovok.ru/hotel/egypt/dahab/mid7858466/acacia_dahab_hotel/,9,https://level.travel/hotels/9129860-Acacia_Dahab_Hotel,,https://travelata.ru/egypt/resorts/dahab/hotels/acacia-4-2835acf.html,,https://travel.yandex.ru/hotels/dahab/acacia-dahab-hotel/,
Aifu Horizon,https://ostrovok.ru/hotel/egypt/alexandria/mid7862755/aifu_resort_2/,7,https://level.travel/hotels/125280-Aifu_Horizon,7.0,https://travelata.ru/egypt/hotels/aleksandriya-aifu-resort-ex-aifu-horizon-3-d1588e6.html,3,https://travel.yandex.ru/hotels/alexandria-eg/aifu-resort/,
Al Masa Hotel,https://ostrovok.ru/hotel/egypt/cairo/mid7746591/al_masah_hotel_and_spa/,10,https://level.travel/hotels/9096769-Al_Masa_Hotel,,https://travelata.ru/egypt/hotels/kair-al-masa-5-f9bfdea.html,,https://travel.yandex.ru/hotels/cairo/al-masa-hotel-nasr-city/,"4,1"
Al Nabila,https://ostrovok.ru/hotel/egypt/hurghada/mid8979911/al_nabila_grand_bay_resort/,,https://level.travel/hotels/9013918-Red_Sea_Taj_Mahal_Resort_And_Aquapark_Ex_Al_Nabila_Grand_Bay_Makadi_Resort,8.4,https://travelata.ru/egypt/resorts/hurghada/hotels/al-nabila-grand-bay-makadi-hotel-resort-kurortnyj-gorod-d5f4001.html,,https://travel.yandex.ru/hotels/egypt/al-nabila-grand-bay-makadi/,
AL Solaimaneyah Golf Resort & Spa,https://ostrovok.ru/hotel/egypt/cairo/mid8598621/the_westin_cairo_golf_resort_spa_katameya_dunes/,,https://level.travel/hotels/9013912-Jaz_Solaya_Resort_Ex_Solymar_Solaya_Resort,10.0,https://travelata.ru/egypt/resorts/soma-bay/hotels/the-cascades-golf-resort-spa-thalasso-5-5a2a330.html,4.8,https://travel.yandex.ru/hotels/egypt/fyl-blryf-l-wrby-152308467596/,
Albatros Aqua Park Resort,https://ostrovok.ru/hotel/egypt/hurghada/mid7821931/albatros_garden_resort_hurghada/,9,https://level.travel/hotels/41299-Pickalbatros_Aqua_Park_Resort_Hurghada,9.9,https://travelata.ru/egypt/resorts/hurghada/hotels/pickalbatros-aqua-park-resort-hurghada-ex-albatros-garden-resort-4-32508f5.html,4.7,https://travel.yandex.ru/hotels/hurgada/albatros-aqua-park-resort/,"5,0"
Albatros Citadel Resort,https://ostrovok.ru/hotel/egypt/hurghada/mid10366885/albatros_citadel_sahl_hasheesh/,9,https://level.travel/hotels/9002783-Pickalbatros_Citadel_Resort_Ex_Albatros_Citadel,9.6,https://travelata.ru/egypt/resorts/sahl-hasheesh/hotels/albatros-citadel-ex-citadel-azur-resort-5-75877cb.html,4.8,https://travel.yandex.ru/hotels/egypt/albatros-tsitadel-rezort/,"4,9"
Albatros Palace Resort,https://ostrovok.ru/hotel/egypt/hurghada/mid7822831/albatros_palace_resort_4/,9,https://level.travel/hotels/157709-Pickalbatros_Palace_Resort_Ex_Albatros_Palace_Resort,9.8,https://travelata.ru/egypt/resorts/hurghada/hotels/albatros-palace-resort-ex-albatros-club-5-d990982.html,4.7,https://travel.yandex.ru/hotels/hurgada/albatros-palace-resort-hurghada-all-inclusive-families-couples-only/,
Albatros Sea World Marsa Alam,https://ostrovok.ru/hotel/egypt/el_quseir/mid8880172/albatros_sea_world_marsa_alam/,9,https://level.travel/hotels/9077188-Albatros_Sea_World_Marsa_Alam,9.8,https://travelata.ru/egypt/resorts/marsa-alam-el-quseir/hotels/pick-albatros-sea-world-marsa-alam-4-1d39da4.html,4,https://travel.yandex.ru/hotels/egypt/albatros-sea-world-marsa-alam/,
Albatros White Beach,https://ostrovok.ru/hotel/egypt/hurghada/mid6984170/albatros_white_beach_/,9,https://level.travel/hotels/611-Albatros_White_Beach_Resort,9.7,https://travelata.ru/egypt/resorts/hurghada/hotels/pickalbatros-albatros-white-beach-ex-royal-palace-sonesta-beach-resort-5-4050756.html,4.6,https://travel.yandex.ru/hotels/hurgada/albatros-uait-bich/,
Alf Leila Wa Leila,https://ostrovok.ru/hotel/egypt/hurghada/mid7821842/alf_leila_wa_leila_hotel/,9,https://level.travel/hotels/41290-Pickalbatros_Alf_Leila_Wa_Leila_Resort_Ex_Alf_Leila_Wa_Leila_By_Neverland,9.7,https://travelata.ru/egypt/resorts/hurghada/hotels/pickalbatros-alf-leila-wa-leila-resort-neverland-ex-alf-leila-wa-leila-4-e520f70.html,4.6,https://travel.yandex.ru/hotels/hurgada/alf-leila-wa-leila/,
Ali Baba Hotel,https://ostrovok.ru/hotel/egypt/hurghada/mid7690966/alibaba_palace/,8,https://level.travel/hotels/593-Ali_Baba_Palace_Hurgada,8.5,https://travelata.ru/egypt/resorts/hurghada/hotels/ali-baba-palace-4-2286691.html,4.5,https://travel.yandex.ru/hotels/hurgada/ali-baba-palace/,
Ali Baba Palace,https://ostrovok.ru/hotel/egypt/hurghada/mid7690966/alibaba_palace/,8,https://level.travel/hotels/593-Ali_Baba_Palace_Hurgada,8.5,https://travelata.ru/egypt/resorts/hurghada/hotels/ali-baba-palace-4-2286691.html,4.5,https://travel.yandex.ru/hotels/hurgada/ali-baba-palace/,"4,7"
Ali Pasha,https://ostrovok.ru/hotel/egypt/el_gouna/mid7540093/ali_pasha_hotel_el_gouna/,9,https://level.travel/hotels/200017-Ali_Pasha,9.5,https://travelata.ru/egypt/resorts/el_gouna/hotels/ali-pasha-3-677fa40.html,3.3,https://travel.yandex.ru/hotels/el-gouna/ali-pasha-hotel-el-gouna/,
Alia Beach Resort,https://ostrovok.ru/hotel/egypt/hurghada/mid7772985/alia_beach_resort/,6,https://level.travel/hotels/9119796-Alia_Beach_Resort,,https://travelata.ru/egypt/resorts/hurghada/hotels/alia-beach-resort-4-a914d7f.html,3.3,https://travel.yandex.ru/hotels/hurgada/alia-beach-resort-hurghada/,
Amarante Pyramids,https://ostrovok.ru/hotel/egypt/giza/mid6519578/amarante_pyramids/,6,https://level.travel/hotels/157352-Amarante_Pyramids,8.2,https://travelata.ru/egypt/hotels/kair-amarante-pyramids-ex-sheraton-royal-gardens-4-a91bc76.html,3.7,https://travel.yandex.ru/hotels/giza/amarante-pyramids/,
AMC Royal Hotel,https://ostrovok.ru/hotel/egypt/hurghada/mid8013331/amc_royal_hotel/,9,https://level.travel/hotels/160185-Amc_Royal_Hotels_And_Spa_Ex_Amc_Royal_Resort,7.8,https://travelata.ru/egypt/resorts/hurghada/hotels/amc-royal-hotel-spa-ex-amc-royal-amc-azur-resort-amc-azur-grand-resort-5-61d009d.html,3.6,https://travel.yandex.ru/hotels/hurgada/amc-royal-hotel-spa/,
Amerotel Les Rois,https://ostrovok.ru/hotel/egypt/hurghada/mid8100976/les_rois_hotel/,,https://level.travel/hotels/9011759-Amerotel_Le_Rois_Hurghada_Ex_Pharaoh_Les_Rois_Hotel,,https://travelata.ru/egypt/resorts/sharm-el-sheikh/hotels/royal-naama-bay-ex-royal-oasis-naama-bay-hotel-resort-amerotel-royal-oasis-resort-royal-oasis-swiss-inn-resort-4-5fc34ed.html,3.2,https://travel.yandex.ru/hotels/colmar/les-3-rois/,
